node,lo,hi,width
194,0.7500000000,0.8500000000,0.1000000000
195,0.5619506836,0.7224451352,0.1604944516
196,0.7500000000,0.8500000000,0.1000000000
197,0.7500000000,0.8500000000,0.1000000000
198,0.5625000000,0.7225000000,0.1600000000
199,0.7289428711,0.8446379477,0.1156950766
200,0.7031250000,0.8308750000,0.1277500000
201,0.7031250000,0.8308750000,0.1277500000
202,0.7031250000,0.8308750000,0.1277500000
203,0.7500000000,0.8500000000,0.1000000000
204,0.7500000000,0.8500000000,0.1000000000
205,0.7500000000,0.8500000000,0.1000000000
206,0.7500000000,0.8500000000,0.1000000000
207,0.5625000000,0.7225000000,0.1600000000
208,0.5625000000,0.7225000000,0.1600000000
210,0.7500000000,0.8500000000,0.1000000000
211,0.7500000000,0.8500000000,0.1000000000
212,0.7500000000,0.8500000000,0.1000000000
213,0.7500000000,0.8500000000,0.1000000000
214,0.7031250000,0.8308750000,0.1277500000
215,0.7500000000,0.8500000000,0.1000000000
216,0.5625000000,0.7225000000,0.1600000000
217,0.7500000000,0.8500000000,0.1000000000
218,0.7500000000,0.8500000000,0.1000000000
219,0.7500000000,0.8500000000,0.1000000000
220,0.7500000000,0.8500000000,0.1000000000
221,0.7500000000,0.8500000000,0.1000000000
222,0.7500000000,0.8500000000,0.1000000000
223,0.7500000000,0.8500000000,0.1000000000
224,0.7500000000,0.8500000000,0.1000000000
225,0.7500000000,0.8500000000,0.1000000000
226,0.7500000000,0.8500000000,0.1000000000
227,0.7500000000,0.8500000000,0.1000000000
228,0.7500000000,0.8500000000,0.1000000000
229,1.0000000000,1.0000000000,0.0000000000
230,0.7500000000,0.8500000000,0.1000000000
231,0.7500000000,0.8500000000,0.1000000000
232,0.7500000000,0.8500000000,0.1000000000
233,1.0000000000,1.0000000000,0.0000000000
234,0.7500000000,0.8500000000,0.1000000000
235,0.7500000000,0.8500000000,0.1000000000
236,0.7500000000,0.8500000000,0.1000000000
237,0.7500000000,0.8500000000,0.1000000000
238,0.7500000000,0.8500000000,0.1000000000
239,0.7500000000,0.8500000000,0.1000000000
240,0.7500000000,0.8500000000,0.1000000000
241,0.7500000000,0.8500000000,0.1000000000
242,0.7500000000,0.8500000000,0.1000000000
243,0.7500000000,0.8500000000,0.1000000000
244,0.7500000000,0.8500000000,0.1000000000
245,1.0000000000,1.0000000000,0.0000000000
246,0.7500000000,0.8500000000,0.1000000000
247,0.7500000000,0.8500000000,0.1000000000
248,0.7500000000,0.8500000000,0.1000000000
249,0.7500000000,0.8500000000,0.1000000000
250,0.7500000000,0.8500000000,0.1000000000
251,0.7500000000,0.8500000000,0.1000000000
252,0.7500000000,0.8500000000,0.1000000000
253,0.7500000000,0.8500000000,0.1000000000
254,0.7500000000,0.8500000000,0.1000000000
255,0.7500000000,0.8500000000,0.1000000000
256,0.7500000000,0.8500000000,0.1000000000
257,0.7500000000,0.8500000000,0.1000000000
258,0.7500000000,0.8500000000,0.1000000000
259,0.7500000000,0.8500000000,0.1000000000
260,0.7500000000,0.8500000000,0.1000000000
261,0.7500000000,0.8500000000,0.1000000000
262,0.7500000000,0.8500000000,0.1000000000
263,0.7500000000,0.8500000000,0.1000000000
264,0.7500000000,0.8500000000,0.1000000000
265,0.7500000000,0.8500000000,0.1000000000
266,0.7500000000,0.8500000000,0.1000000000
267,0.7500000000,0.8500000000,0.1000000000
268,1.0000000000,1.0000000000,0.0000000000
269,0.7500000000,0.8500000000,0.1000000000
270,0.7500000000,0.8500000000,0.1000000000
271,0.7500000000,0.8500000000,0.1000000000
272,0.7500000000,0.8500000000,0.1000000000
273,0.7500000000,0.8500000000,0.1000000000
274,0.7500000000,0.8500000000,0.1000000000
275,0.7500000000,0.8500000000,0.1000000000
276,0.7500000000,0.8500000000,0.1000000000
277,0.7500000000,0.8500000000,0.1000000000
278,0.7500000000,0.8500000000,0.1000000000
279,0.7500000000,0.8500000000,0.1000000000
280,0.7500000000,0.8500000000,0.1000000000
281,0.7500000000,0.8500000000,0.1000000000
282,0.7500000000,0.8500000000,0.1000000000
283,0.7500000000,0.8500000000,0.1000000000
284,0.7500000000,0.8500000000,0.1000000000
285,0.7500000000,0.8500000000,0.1000000000
286,0.7500000000,0.8500000000,0.1000000000
287,0.7500000000,0.8500000000,0.1000000000
288,0.7382812500,0.8471312500,0.1088500000
289,0.7031250000,0.8308750000,0.1277500000
