name,family,V,E,vars,density,nroots,nuniq,maxcond,ipa_struct_ms,ipa_prop_ms,ipa_ops,worst_delta,naive_status,naive_nodes,naive_ms,sift_nodes,sift_ms
random_n15_p02_s7,random-n15,15,27,42,0.2571,8,38,6,0.646,2.818,270,5.551e-17,ok,10119,34.0,766,42.0
random_n15_p02_s8,random-n15,15,33,48,0.3143,8,45,8,0.801,3.393,198,5.551e-17,ok,9606,34.0,639,42.0
random_n20_p015_s1,random-n20,20,42,62,0.2211,9,59,9,1.364,24.447,1747,8.327e-17,ok,145763,53.0,1997,80.0
random_n20_p015_s2,random-n20,20,41,61,0.2158,9,38,9,0.680,4.292,431,1.388e-17,ok,139967,52.0,1762,63.0
random_n20_p015_s3,random-n20,20,41,61,0.2158,9,33,7,0.820,2.249,182,1.110e-16,ok,67315,41.0,648,53.0
random_n20_p015_s4,random-n20,20,38,58,0.2000,10,52,9,1.258,11.784,1003,5.551e-17,ok,77160,42.0,1539,63.0
random_n20_p015_s5,random-n20,20,33,53,0.1737,6,24,6,0.556,1.346,62,5.551e-17,ok,56950,39.0,254,43.0
random_n20_p015_s6,random-n20,20,38,58,0.2000,10,28,7,0.776,1.941,124,5.551e-17,ok,61194,41.0,933,56.0
random_n20_p015_s7,random-n20,20,39,59,0.2053,11,57,8,1.400,11.441,445,1.110e-16,ok,103636,50.0,882,64.0
random_n20_p015_s8,random-n20,20,43,63,0.2263,10,49,9,1.025,6.486,551,8.327e-17,ok,94242,52.0,1096,61.0
random_n20_p01_s1,random-n20,20,34,54,0.1789,7,31,8,0.637,2.950,217,2.776e-17,ok,34142,37.0,980,52.0
random_n20_p01_s2,random-n20,20,33,53,0.1737,6,27,5,0.534,1.840,158,2.082e-17,ok,15684,35.0,696,45.0
random_n20_p01_s3,random-n20,20,38,58,0.2000,7,28,6,0.630,1.901,107,5.551e-17,ok,59551,40.0,396,44.0
random_n20_p01_s4,random-n20,20,31,51,0.1632,8,27,8,0.643,4.354,373,2.776e-17,ok,23707,36.0,788,49.0
random_n20_p01_s5,random-n20,20,32,52,0.1684,7,27,6,3.857,1.410,114,2.776e-17,ok,49539,42.0,319,48.0
random_n20_p01_s6,random-n20,20,31,51,0.1632,6,22,5,0.391,1.076,68,5.551e-17,ok,8667,39.0,504,48.0
random_n20_p01_s7,random-n20,20,36,56,0.1895,7,26,7,0.484,2.308,143,5.551e-17,ok,56757,44.0,994,56.0
random_n20_p01_s8,random-n20,20,38,58,0.2000,8,33,7,0.620,3.086,164,5.551e-17,ok,80365,49.0,1377,69.0
random_n20_p02_s1,random-n20,20,49,69,0.2579,10,63,12,1.593,27.847,1906,5.551e-17,ok,455465,141.0,1978,87.0
random_n20_p02_s2,random-n20,20,47,67,0.2474,12,62,11,1.367,12.388,554,5.551e-17,ok,158794,57.0,2019,66.0
random_n20_p02_s3,random-n20,20,50,70,0.2632,11,43,10,1.129,9.184,616,5.551e-17,ok,387114,115.0,1540,68.0
random_n20_p02_s4,random-n20,20,48,68,0.2526,12,97,10,6.255,67.538,4010,8.327e-17,ok,388128,115.0,1315,70.0
random_n20_p02_s5,random-n20,20,40,60,0.2105,11,41,6,0.804,2.533,246,2.776e-17,ok,85724,48.0,1231,57.0
random_n20_p02_s6,random-n20,20,44,64,0.2316,12,44,9,0.946,4.700,425,8.327e-17,ok,131423,55.0,1431,61.0
random_n20_p02_s7,random-n20,20,44,64,0.2316,12,76,9,1.802,20.634,1042,1.110e-16,ok,112980,48.0,2849,82.0
random_n20_p02_s8,random-n20,20,49,69,0.2579,11,68,11,1.769,30.389,1376,5.551e-17,ok,169531,58.0,2326,75.0
random_n25_p015_s1,random-n25,25,58,83,0.1933,15,85,14,2.318,55.294,3112,5.551e-17,blowup,2818118,1302.0,3255,121.0
random_n25_p015_s2,random-n25,25,56,81,0.1867,12,102,10,2.826,31.252,1564,2.776e-17,ok,555728,178.0,1807,78.0
random_n25_p015_s3,random-n25,25,58,83,0.1933,15,95,12,3.197,102.731,4307,5.551e-17,ok,2083162,928.0,2429,123.0
random_n25_p015_s4,random-n25,25,53,78,0.1767,10,57,12,1.446,36.840,1045,5.551e-17,ok,350770,117.0,4327,166.0
random_n25_p015_s5,random-n25,25,46,71,0.1533,8,47,9,1.233,10.562,687,2.776e-17,ok,271194,99.0,1234,67.0
random_n25_p015_s6,random-n25,25,52,77,0.1733,12,57,11,1.657,25.236,1242,5.551e-17,ok,682948,269.0,1955,80.0
random_n25_p015_s7,random-n25,25,51,76,0.1700,14,108,11,5.935,288.613,3782,2.776e-17,ok,486433,163.0,2983,100.0
random_n25_p015_s8,random-n25,25,61,86,0.2033,13,92,13,2.410,73.989,3128,5.551e-17,blowup,3267894,1428.0,3487,120.0
random_n25_p01_s1,random-n25,25,47,72,0.1567,13,81,10,2.701,28.032,1830,4.163e-17,ok,421985,120.0,4594,117.0
random_n25_p01_s2,random-n25,25,44,69,0.1467,10,53,9,2.798,17.939,605,5.551e-17,ok,187046,59.0,1228,60.0
random_n25_p01_s3,random-n25,25,51,76,0.1700,13,61,11,2.567,28.630,968,5.551e-17,ok,672278,218.0,1685,82.0
random_n25_p01_s4,random-n25,25,43,68,0.1433,9,37,7,1.035,8.704,381,4.163e-17,ok,240224,82.0,1116,63.0
random_n25_p01_s5,random-n25,25,44,69,0.1467,9,67,8,1.973,27.221,1377,5.551e-17,ok,303827,103.0,1233,64.0
random_n25_p01_s6,random-n25,25,42,67,0.1400,8,35,8,0.811,3.490,180,5.551e-17,ok,67613,41.0,630,52.0
random_n25_p01_s7,random-n25,25,44,69,0.1467,13,57,8,1.658,11.479,588,5.551e-17,ok,198420,63.0,1476,72.0
random_n25_p01_s8,random-n25,25,48,73,0.1600,10,68,10,1.477,19.037,757,5.551e-17,ok,529787,169.0,1584,74.0
random_n25_p02_s1,random-n25,25,72,97,0.2400,17,139,17,8.650,395.299,13358,5.551e-17,blowup,16471649,8865.0,10002,249.0
random_n25_p02_s2,random-n25,25,69,94,0.2300,18,137,14,26.087,438.034,10063,5.551e-17,blowup,8847999,4713.0,5239,264.0
random_n25_p02_s3,random-n25,25,73,98,0.2433,20,117,15,3.880,623.782,22173,1.110e-16,blowup,14515984,7790.0,10956,337.0
random_n25_p02_s4,random-n25,25,62,87,0.2067,12,65,13,3.555,93.262,1975,5.551e-17,blowup,2744252,1241.0,6859,151.0
random_n25_p02_s5,random-n25,25,59,84,0.1967,14,147,11,4.738,371.285,5769,5.551e-17,blowup,2896082,1219.0,3663,127.0
random_n25_p02_s6,random-n25,25,67,92,0.2233,16,98,13,3.052,333.693,10610,5.551e-17,blowup,13169583,7755.0,3494,166.0
random_n25_p02_s7,random-n25,25,58,83,0.1933,15,121,12,4.541,203.749,9375,5.551e-17,ok,2024783,762.0,6462,177.0
random_n25_p02_s8,random-n25,25,72,97,0.2400,15,154,15,4.626,575.278,12346,5.551e-17,blowup,19944408,10523.0,20323,555.0
